"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Verify login","Successfull login with vallid credentials","0","0","1","0","0"
"","Verify functions page","Verify functions","0","0","2","0","0"
"","Verify applications page","Verify add application","0","0","1","0","0"
"","Verify applications page","Verify add Menu","0","0","1","0","0"
"","Verify lookups page","Verify lookups","0","1","1","0","0"
"","Verify home page data and links","Verify navigation to application page","0","0","1","0","0"
"","Verify applications page","Verify data in applications page","0","1","0","0","0"
"","Verify home page data and links","Verify table data application wise","0","1","0","0","0"
"","Verify applications page","Verify add Users","0","0","1","0","0"
"","Verify home page data and links","Verify navigation to users page","0","0","1","0","0"
"","Verify home page data and links","Verify navigation to roles page","0","0","1","0","0"
"","Verify Messages page","Verify messages","0","1","1","0","0"
"","Verify applications page","Verify add role","0","0","1","0","0"
