"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 04 19:00:31 IST 2024","Thu Jul 04 19:01:51 IST 2024","79697","","Verify home page data and links","","Verify table data application wise","","Verify table data application wise",""
"passed","Thu Jul 04 19:03:47 IST 2024","Thu Jul 04 19:04:26 IST 2024","38669","","Verify applications page","","Verify add role","","Verify add role",""
"broken","Thu Jul 04 19:06:22 IST 2024","Thu Jul 04 19:07:12 IST 2024","50104","","Verify lookups page","","Verify lookups","","Verify lookups",""
"passed","Thu Jul 04 19:03:11 IST 2024","Thu Jul 04 19:03:47 IST 2024","36319","","Verify applications page","","Verify add Users","","Verify add Users",""
"passed","Thu Jul 04 19:05:24 IST 2024","Thu Jul 04 19:06:04 IST 2024","39916","","Verify functions page","","Verify functions","","Verify functions",""
"passed","Thu Jul 04 18:03:14 IST 2024","Thu Jul 04 18:04:00 IST 2024","45980","","Verify functions page","","Verify functions","","Verify functions",""
"passed","Thu Jul 04 19:06:04 IST 2024","Thu Jul 04 19:06:22 IST 2024","17754","","Verify login","","Successfull login with vallid credentials","","Successfull login with vallid credentials",""
"passed","Thu Jul 04 18:59:48 IST 2024","Thu Jul 04 19:00:31 IST 2024","43210","","Verify home page data and links","","Verify navigation to users page","","Verify navigation to users page",""
"passed","Thu Jul 04 19:01:51 IST 2024","Thu Jul 04 19:02:28 IST 2024","37504","","Verify applications page","","Verify add application","","Verify add application",""
"passed","Thu Jul 04 19:02:28 IST 2024","Thu Jul 04 19:03:11 IST 2024","42578","","Verify applications page","","Verify add Menu","","Verify add Menu",""
"passed","Thu Jul 04 19:07:12 IST 2024","Thu Jul 04 19:08:05 IST 2024","53344","","Verify Messages page","","Verify messages","","Verify messages",""
"broken","Thu Jul 04 18:17:13 IST 2024","Thu Jul 04 18:17:20 IST 2024","7349","","Verify Messages page","","Verify messages","","Verify messages",""
"passed","Thu Jul 04 17:09:27 IST 2024","Thu Jul 04 17:10:24 IST 2024","57953","","Verify lookups page","","Verify lookups","","Verify lookups",""
"passed","Thu Jul 04 18:59:09 IST 2024","Thu Jul 04 18:59:48 IST 2024","38433","","Verify home page data and links","","Verify navigation to roles page","","Verify navigation to roles page",""
"broken","Thu Jul 04 19:04:26 IST 2024","Thu Jul 04 19:05:24 IST 2024","58380","","Verify applications page","","Verify data in applications page","","Verify data in applications page",""
"passed","Thu Jul 04 18:58:35 IST 2024","Thu Jul 04 18:59:09 IST 2024","34164","","Verify home page data and links","","Verify navigation to application page","","Verify navigation to application page",""
